time_points	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230
CNAG_00069	2.113	1.457	1.207	1.19	1.109	1.11	1.106	1.477	1.304	1.364	1.459	1.6	1.308	1.652	1.501	1.389	1.354	1.527	1.502	1.487	1.512	1.37	1.171	1.58
CNAG_00070	5.197	7.536	6.38	8.759	10.143	13.438	13.545	11.765	11.719	11.483	8.637	7.718	8.979	8.736	9.037	8.368	8.429	9.369	7.45	7.92	8.56	9.022	8.504	8.652
CNAG_00072	378.354	246.016	106.538	38.292	59.956	70.726	79.069	71.476	76.727	108.546	127.74	142.151	145.605	155.835	159.336	145.03	145.957	158.011	167.334	168.055	161.904	168.004	152.786	149.293
CNAG_00073	49.671	11.886	18.734	20.354	18.43	21.829	28.363	30.207	35.129	34.896	32.304	30.32	32.069	33.764	33.262	37.108	31.418	29.762	33.426	32.52	32.308	31.601	34.544	31.775
CNAG_00074	133.559	45.1	76.864	111.765	88.313	57.337	41.247	29.354	39.316	54.379	76.247	71.47	57.866	56.18	54.652	71.847	76.577	82.644	86.051	83.484	72.224	73.08	85.26	90.834
CNAG_00075	86.362	44.485	10.538	3.386	1.258	1.087	1.251	2.176	6.339	9.538	13.249	17.456	19.874	23.208	27.682	41.056	40.611	47.488	44.332	48.042	54.46	62.457	64.17	75.989
CNAG_00076	5.731	18.151	6.106	2.081	2.391	6.859	10.997	18.566	15.117	10.253	6.76	7.401	8.936	10.062	13.975	12.236	9.092	7.821	6.548	8.032	11.253	11.325	11.693	10.593
CNAG_00077	212.919	262.689	77.62	39.133	48.519	66.468	75.569	71.791	55.245	45.081	40.7	43.156	43.223	48.281	44.819	38.199	28.81	30.753	33.361	39.994	39.558	46.924	37.53	31.911
CNAG_00078	13.1	16.808	25.784	38.4	29.187	19.528	14.646	8.928	7.54	12.483	17.666	17.167	13.707	12.273	11.283	12.584	13.627	14.871	16.047	15.337	13.032	12.155	12.133	13.243
CNAG_00079	29.868	1.674	2.686	10.32	9.98	7.532	5.272	4.211	4.168	6.633	9.595	9.498	10.309	7.868	7.76	7.888	9.712	10.267	9.665	8.145	7.869	7.679	7.586	8.944
CNAG_00080	2.047	1.667	1.449	1.207	1.213	1.178	1.445	1.343	1.661	1.207	1.358	1.234	1.45	1.333	1.391	1.43	1.363	1.375	1.535	1.253	1.721	1.573	1.361	1.307
CNAG_00081	22.926	18.685	9.98	13.525	20.369	29.066	31.743	33.86	32.229	31.034	28.882	27.411	32.662	33.51	33.347	30.441	28.199	28.395	29.962	30.304	31.262	30.956	34.944	32.886
CNAG_00082	52.07	25.035	37.013	49.033	46.921	44.517	37.218	36.144	37.851	40.162	51.988	49.075	46.005	43.863	46.04	46.678	53.116	55.593	55.139	52.26	53.481	44.826	53.091	55.064
CNAG_00083	9.494	7.989	6.229	10.771	11.561	15.369	16.058	18.77	17.204	16.403	14.076	13.09	15.511	14.762	15.429	16.028	13.018	12.753	13.606	13.149	13.411	13.963	15.097	14.402
CNAG_00084	34.146	65.92	75.855	59.534	66.098	95.126	123.767	116.855	80.251	78.161	78.526	86.725	87.537	95.443	92.209	79.421	67.152	67.032	68.528	74.553	74.624	72.344	71.582	65.985
CNAG_00085	13.835	96.701	76.989	29.663	22.495	32.12	54.862	99.323	95.313	78.146	57.489	46.178	50.914	61.663	78.646	87.661	56.428	46.865	43.862	46.196	54.199	72.19	66.781	64.854
CNAG_00086	10.541	64.184	65.578	61.893	56.281	75.773	84.736	80.438	63.535	55.431	47.798	44.48	46.23	46.254	47.087	43.65	38.347	41.894	37.395	38.862	39.568	38.158	39.287	35.439
CNAG_00087	30.089	5.41	2.895	5.493	9.237	10.885	11.337	12.365	15.65	15.574	18.056	17.57	19.485	21.043	18.672	20.271	16.441	17.365	19.514	18.888	18.52	19.816	21.481	20.348
CNAG_00088	922.219	642.282	647.11	319.499	268.908	293.33	330.153	312.528	232.856	265.466	346.003	391.076	359.075	374.898	368.283	385.775	352.837	348.567	376.977	400.715	399.53	387.008	382.211	409.44
CNAG_00089	41.733	117.719	142.075	82.759	94.253	125.049	135.403	112.01	77.247	70.62	83.559	83.521	85.366	86.062	75.756	75.473	70.392	63.554	68.368	70.272	74.556	71.975	61.955	62.602
CNAG_00090	19.48	10.036	17.246	47.385	45.691	29.339	23.457	16.418	14.861	21.171	35.37	43.387	36.588	36.193	29.544	34.381	35.693	40.828	37.176	36.242	34.722	31.343	32.193	37.295
CNAG_00091	557.848	3.212	1.866	1.218	1.218	1.344	2.202	11.984	30.586	19.937	7.544	6.247	6.93	8.384	17.84	24.211	17.678	14.361	14.208	14.4	17.787	32.559	54.811	54.42
CNAG_00092	508.417	563.498	1105.48	766.2	688.316	620.17	639.139	583.896	500.734	614.863	693.494	732.55	655.57	684.627	715.79	654.764	749.967	720.583	733.483	714.411	683.161	675.686	654.885	711.682
CNAG_00093	47.819	4.562	1.155	1.029	1.147	1.074	1.213	4.293	9.968	6.675	4.631	4.38	4.758	5.565	9.789	13.698	13.016	11.108	10.76	9.921	11.664	16.581	25.946	25.792
CNAG_00094	10.653	9.996	3.168	1.234	1.501	1.67	1.652	2.359	2.276	1.776	1.616	1.464	1.549	1.635	1.878	1.841	1.995	1.677	1.794	1.844	1.889	2.08	2.261	2.036
CNAG_00095	11.112	42.457	23.208	22.293	26.931	40.435	37.204	39.463	29.609	24.298	22.891	21.49	18.177	19.847	18.99	19.095	14.402	13.712	14.44	14.426	15.467	16.012	16.901	15.381
CNAG_00096	5.825	2.002	2.3	6.088	6.857	6.296	5.388	5.588	7.099	7.461	8.617	7.721	7.538	6.676	6.309	7.437	7.61	6.731	6.902	7.142	6.402	6.967	6.52	6.54
CNAG_00097	24.712	9.816	19.281	23.053	12.326	7.701	6.684	5.149	6.38	7.283	9.166	8.724	7.434	6.356	7.254	6.261	7.996	7.342	7.208	7.743	6.493	7.397	6.839	7.214
CNAG_00098	13.959	6.79	1.792	1.05	1.259	1.564	1.27	1.437	1.704	2.292	2.922	2.897	4	4.72	4.527	5.051	4.818	5.474	6.923	7.091	6.678	6.952	6.607	6.23
CNAG_00099	32.38	199.385	84.173	28.289	39.161	72.164	113.817	80.639	42.725	34.309	32.35	37.489	42.534	54.616	46.78	34.824	26.145	25.34	29.114	34.205	40.788	42.575	36.914	32.07
CNAG_00100	97.908	54.811	18.307	16.077	53.648	112.718	175.908	216.625	186.524	185.615	171.204	203.728	258.097	309.205	314.197	222.747	187.443	163.097	158.781	169.746	181.282	192.224	195.311	168.467
CNAG_00101	26.645	80.419	206.281	222.769	180.456	114.782	96.014	72.573	72.074	97.755	119.658	118.515	96.348	90.996	84.182	91.778	100.523	108.096	101.184	100.911	94.428	90.474	88.741	102.445
CNAG_00104	83.368	345.165	412.494	163.437	202.002	327.413	418.888	337.049	241.273	160.261	105.098	103.639	136.922	154.711	151.881	112.562	111.386	107.753	108.374	121.509	127.215	121.097	123.111	110.484
CNAG_00105	7.627	5.647	5.241	5.071	4.973	7.168	5.827	3.161	4.048	3.932	3.962	3.801	4.55	3.671	3.385	3.773	4.391	4.548	4.569	3.861	4.098	5.783	3.27	4.403
CNAG_00106	17.837	85.139	29.344	16.234	17.987	25.311	30.442	36.318	32.126	27.994	24.484	21.819	20.83	24.48	25.604	25.638	21.105	19.848	19.704	20.987	22.017	24.298	28.6	25.369
CNAG_00107	34.074	2.487	1.043	1	1.034	1.068	1.164	4.769	10.311	8.671	8.324	7.754	9.939	10.974	14.101	18.936	17.382	17.179	16.195	14.464	17.014	20.676	28.255	26.23
CNAG_00108	70.689	62.822	68.552	66.645	90.78	107.64	136.266	128.701	103.03	102.246	113.815	138.549	134.181	150.828	135.749	119.263	107.839	106.035	105.988	111.712	116.612	114.566	106.443	96.838
