GENE_ID	GSM77298_T1	GSM77299_T2	GSM77300_T3	GSM77301_T4	GSM77302_T5	GSM77303_T6	GSM77304_T7	GSM77305_T8	GSM77306_T9	GSM77307_T10	GSM77308_T11	GSM77309_T12	GSM77310_T13	GSM77311_T14	GSM77312_T15	GSM77313_T16	GSM77314_T17	GSM77315_T18	GSM77316_T19	GSM77317_T20	GSM77318_T21	GSM77319_T22	GSM77320_T23	GSM77321_T24	GSM77322_T25	GSM77323_T26	GSM77324_T27	GSM77325_T28	GSM77326_T29	GSM77327_T30	GSM77328_T31	GSM77329_T32	GSM77330_T33	GSM77331_T34	GSM77332_T35	GSM77333_T36
YPR058W|YMC1	6.016	4.272	4.726	5.715	7.021	7.619	9.882	8.732	7.762	5.074	4.721	5.083	7.268	4.24	4.983	6.3	5.834	6.929	8.088	6.576	7.978	4.617	5.639	6.544	8.299	3.338	6.145	4.655	5.392	6.926	9.101	10.735	5.581	4.489	4.802	6.195
YER096W|SHC1	0.191	0.635	1.213	1.445	2.424	2.623	3.009	3.352	0.769	0.364	0.175	0.145	0.22	0.5	1.134	1.791	1.848	2.505	2.655	2.093	0.57	0.162	0.097	0.153	0.267	0.847	1.311	1.716	2.013	2.704	2.752	1.738	0.4	0.131	0.109	0.141
YOR274W|MOD5	1.338	0.506	0.501	0.561	0.505	0.692	0.83	0.97	1.715	1.018	0.806	1.059	0.935	0.553	0.501	0.685	0.802	0.723	0.869	1.454	0.895	0.805	1.057	1.097	0.818	0.718	0.559	0.654	0.776	0.843	0.825	1.722	1.056	0.955	1.109	0.88
YOL025W|LAG2	2.842	2.385	2.363	2.882	2.521	2.806	2.865	2.725	1.545	1.926	2.031	1.851	2.285	2.295	1.911	3.118	2.41	2.442	2.795	1.796	2.192	1.678	1.813	1.568	1.52	2.972	2.705	2.803	2.817	2.396	2.682	1.833	2.135	1.906	1.684	1.605
YGL240W|DOC1	0.205	0.158	0.17	0.314	0.324	0.355	0.462	0.333	0.3	0.211	0.231	0.18	0.207	0.172	0.216	0.508	0.25	0.476	0.4	0.702	0.255	0.295	0.215	0.168	0.206	0.138	0.212	0.234	0.417	0.436	0.677	0.493	0.254	0.279	0.228	0.214
YLR132C|NA	1.489	0.625	1.69	0.99	0.836	0.553	0.854	0.923	0.318	0.675	1.515	1.275	1.505	0.924	1.245	0.909	0.674	0.807	0.723	0.68	0.835	1.023	1.403	1.305	1.745	1	1.32	0.879	0.675	0.804	0.82	0.549	0.684	1.068	1.38	1.386
YJR136C|NA	0.622	0.839	0.832	0.897	0.625	0.7	0.633	0.748	0.815	0.395	0.479	0.471	0.51	0.636	0.628	0.868	1.139	1.036	0.766	0.376	0.533	0.383	0.157	0.692	0.567	1.039	0.791	0.696	0.918	0.954	0.603	0.247	0.532	0.311	0.443	0.541
YER168C|CCA1	1.086	0.924	0.514	0.555	0.593	0.575	0.696	0.908	3.254	1.826	1.341	1.461	1	1.04	0.948	0.594	0.61	0.762	0.719	1.613	1.72	1.511	1.268	1.22	1.497	1.008	0.784	0.596	0.664	0.633	0.745	2.511	1.852	1.238	1.245	1.462
YGR015C|NA	1.015	1.131	0.783	0.862	0.716	0.724	0.598	0.676	0.46	0.761	0.916	0.618	0.789	1.013	1.033	0.623	0.73	0.758	0.856	0.452	0.602	0.698	0.616	0.756	1.07	1.069	0.764	0.899	0.754	0.608	0.957	0.377	0.587	0.616	0.665	0.674
YEL047C|NA	3.095	4.031	3.06	2.865	3.123	2.647	2.995	2.574	1.697	3.028	3.362	2.154	2.731	3.677	2.88	3.145	2.408	2.481	2.396	2.565	2.174	3.794	3.644	2.839	3.172	4.748	3.701	2.619	2.27	2.464	2.99	3.319	3.018	3.156	2.939	2.996
